region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,county,state,lat,long
greensboro,10299,2012.0,acura,tl,,,gas,90186.0,clean,automatic,19UUA8F22CA003926,,,other,blue,,nc,35.7636,-78.7443
greensboro,0,2011.0,bmw,335,,6 cylinders,gas,115120.0,clean,automatic,,rwd,,convertible,blue,,nc,,
greensboro,9500,2011.0,jaguar,xf,excellent,,gas,85000.0,clean,automatic,,,,,blue,,nc,36.1032,-79.8794
greensboro,3995,2004.0,honda,element,,,gas,212526.0,clean,automatic,5J6YH18314L006498,fwd,,SUV,orange,,nc,35.7636,-78.7443
lincoln,41988,2016.0,chevrolet,silverado k2500hd,,,gas,,clean,automatic,1GC1KWE85GF266427,,,,,,ne,41.1345,-96.2458
greensboro,12995,2015.0,kia,sportage,,,gas,85127.0,clean,automatic,KNDPCCAC2F7761967,4wd,,wagon,,,nc,35.7636,-78.7443
greensboro,10995,2014.0,chevrolet,traverse,,,gas,112383.0,clean,automatic,1GNKRGKD2EJ157108,fwd,,SUV,black,,nc,35.7636,-78.7443
greensboro,8995,2011.0,bmw,528i,,,gas,124446.0,clean,automatic,WBAFR1C52BC745716,,,sedan,silver,,nc,35.7636,-78.7443
greensboro,3995,2007.0,toyota,solara,,,gas,185123.0,clean,automatic,4T1FA38P57U118005,fwd,compact,convertible,black,,nc,35.7636,-78.7443
greensboro,8995,2005.0,toyota,tacoma,,,gas,181020.0,clean,automatic,5TETU62N65Z006686,,,other,black,,nc,35.7636,-78.7443
greensboro,7995,2008.0,nissan,frontier,,,gas,162214.0,clean,automatic,1N6AD09U98C411189,fwd,,pickup,red,,nc,35.7636,-78.7443
greensboro,11995,2014.0,volkswagen,beetle,,,gas,77118.0,clean,automatic,3VWVT7AT7EM630324,,compact,hatchback,black,,nc,35.7636,-78.7443
greensboro,5495,2008.0,ford,edge,,,gas,139904.0,clean,automatic,2FMDK48C88BA69851,,,SUV,,,nc,35.7636,-78.7443
denver,7995,2010.0,chevrolet,silverado 1500 4wd,excellent,8 cylinders,gas,194050.0,clean,automatic,1GCSKPE38AZ143970,4wd,full-size,truck,white,,co,39.8302,-105.037
denver,8990,2016.0,ford,focus,,,gas,78877.0,clean,automatic,1FADP3KE2GL297598,,compact,hatchback,white,,co,39.5951,-104.845
denver,7500,2012.0,toyota,camry,,,gas,,clean,automatic,,,,,,,co,39.77,-105.126
greensboro,12995,2009.0,gmc,yukon,,,gas,146353.0,clean,automatic,1GKFK03289R297436,4wd,,SUV,black,,nc,35.7636,-78.7443
greensboro,12995,2009.0,gmc,yukon,,,gas,146353.0,clean,automatic,1GKFK03289R297436,4wd,,SUV,black,,nc,35.7636,-78.7443
greensboro,7995,2011.0,subaru,outback,,,gas,135775.0,clean,,4S4BRBAC9B3333460,,,wagon,,,nc,35.7636,-78.7443
greensboro,5995,2006.0,ram,,,,gas,193172.0,clean,automatic,1D7HA18N96J103321,fwd,,pickup,blue,,nc,35.7636,-78.7443
denver,19337,2013.0,toyota,tacoma prerunner sr5 lif,,,gas,87321.0,clean,automatic,3TMJU4GN2DM145027,rwd,,,,,co,39.676,-105.009
denver,6900,2008.0,lexus,rx 350 awd,,6 cylinders,gas,193800.0,clean,automatic,,4wd,,,white,,co,39.671,-104.928
greensboro,5495,2007.0,volvo,xc90,,,gas,138335.0,clean,automatic,YV4CZ982471354229,,,SUV,,,nc,35.7636,-78.7443
greensboro,15300,2015.0,honda,accord lx-s coupe 2d,good,,gas,54296.0,clean,automatic,1HGCT1B39FA002562,fwd,,coupe,black,,nc,36.07,-79.82
greensboro,9895,2005.0,toyota,4-runner,,,gas,172470.0,clean,automatic,JTEBT17R050047428,4wd,,wagon,silver,,nc,35.7636,-78.7443
syracuse,4000,1995.0,dodge,,excellent,8 cylinders,gas,133000.0,clean,automatic,00000000000000,4wd,full-size,truck,grey,,ny,43.0734,-76.1568
greensboro,4895,2008.0,volvo,xc70,,,gas,168798.0,clean,automatic,YV4BZ982081016906,,,wagon,white,,nc,35.7636,-78.7443
denver,14980499,2013.0,ford,f-150,excellent,6 cylinders,gas,80683.0,clean,automatic,1FTEX1CM7DFD84075,rwd,full-size,,white,,co,39.7005,-104.865
greensboro,16000,2011.0,bmw,535i,excellent,6 cylinders,gas,85000.0,salvage,automatic,,fwd,full-size,sedan,grey,,nc,35.5895,-82.5671
syracuse,10950,2011.0,buick,lucerne cxl v6,excellent,6 cylinders,gas,43418.0,clean,automatic,1G4HC5EM9BU123841,fwd,full-size,sedan,red,,ny,43.1226,-76.1284
greensboro,9895,2004.0,ford,f-150,,,gas,162867.0,clean,automatic,1FTPW145X4KB77884,4wd,,pickup,red,,nc,35.7636,-78.7443
syracuse,9400,2011.0,bmw,x5,good,6 cylinders,gas,145000.0,clean,automatic,,4wd,,SUV,blue,,ny,43.1707,-76.0962
greensboro,38900,2016.0,ram,2500,,,diesel,99801.0,clean,automatic,3C6UR5KL0GG160114,4wd,,pickup,black,,nc,36.2768,-80.3395
greensboro,0,2017.0,nissan,370z,,6 cylinders,gas,41028.0,clean,manual,,rwd,,coupe,white,,nc,,
syracuse,1500,2003.0,jeep,liberty,fair,6 cylinders,gas,146260.0,clean,automatic,,4wd,,,,,ny,43.0878,-75.7602
syracuse,4500,2012.0,ford,fusion sel,excellent,6 cylinders,gas,155000.0,clean,automatic,,4wd,mid-size,sedan,silver,,ny,43.4427,-76.5108
south jersey,999,2016.0,kia,sorento lx,excellent,4 cylinders,gas,71000.0,clean,automatic,,,,SUV,purple,,nj,39.4129,-74.3797
south jersey,2250,2006.0,chevrolet,aveo,,,gas,,clean,automatic,,,,,,,nj,39.3223,-74.6008
greensboro,8995,2007.0,toyota,tundra,,,gas,225667.0,clean,automatic,5TBRV54147S471674,fwd,,pickup,white,,nc,35.7636,-78.7443
greensboro,4495,2007.0,volvo,s40,,,gas,119154.0,clean,automatic,YV1MS382X72314458,fwd,compact,sedan,blue,,nc,35.7636,-78.7443
south jersey,1495,2004.0,hyundai,santa fe gls 4x4,good,6 cylinders,gas,196123.0,clean,automatic,KM8SC73D54U726423,4wd,,SUV,red,,nj,39.7054,-75.108
south jersey,1,2000.0,mercedes-benz,benz s500,,,gas,,clean,automatic,,,,,,,nj,38.463,-76.1436
richmond,2800,2002.0,nissan,xterra,like new,6 cylinders,gas,190000.0,clean,automatic,,4wd,full-size,SUV,silver,,va,37.7202,-77.0998
south jersey,6795,2002.0,jeep,liberty,excellent,6 cylinders,gas,,clean,automatic,,4wd,,SUV,black,,nj,39.6371,-75.4981
south jersey,0,2019.0,,ðŸ”´100% APPROVAL RATEðŸ”´,new,other,other,,clean,other,,rwd,full-size,other,custom,,nj,,
greensboro,7990,2006.0,bmw,x5,excellent,8 cylinders,gas,43780.0,clean,automatic,,,,,green,,nc,35.8014,-78.6877
greensboro,0,2005.0,honda,cr-v,,,gas,186917.0,clean,automatic,SHSRD78855U301461,4wd,,SUV,black,,nc,35.9961,-80.0329
greensboro,9890,2013.0,mercedes-benz,c300 4matic,excellent,6 cylinders,gas,100224.0,clean,automatic,,,,,black,,nc,35.8014,-78.6877
south jersey,25900,2008.0,ford,f350 bucket truck,excellent,8 cylinders,gas,73000.0,clean,automatic,,rwd,full-size,truck,white,,nj,39.7776,-75.051
richmond,29650,2017.0,lexus,rx 350,,6 cylinders,gas,44389.0,clean,automatic,2T2BZMCA9HC089414,4wd,,SUV,silver,,va,37.6237,-77.5303
greensboro,6990,2013.0,chevrolet,equinox ls,excellent,4 cylinders,gas,97010.0,clean,automatic,,,,,,,nc,35.8014,-78.6877
greensboro,6990,2010.0,ford,edge limited,excellent,6 cylinders,gas,97108.0,clean,automatic,,,,,white,,nc,35.8014,-78.6877
greensboro,0,2000.0,toyota,4runner,,,gas,,clean,automatic,,,,,,,nc,36.1214,-79.7733
greensboro,7590,2014.0,honda,civic lx,excellent,4 cylinders,gas,50019.0,salvage,automatic,,,,,,,nc,35.8014,-78.6877
greensboro,6500,2014.0,subaru,impreza,excellent,4 cylinders,gas,118965.0,clean,automatic,,,,,blue,,nc,35.8014,-78.6877
greensboro,9590,2013.0,cadillac,ats,excellent,4 cylinders,gas,75225.0,clean,automatic,,,,,,,nc,35.8014,-78.6877
greensboro,6990,2008.0,audi,q7 3.6 premium quattro,excellent,6 cylinders,gas,169916.0,clean,automatic,,,,,grey,,nc,35.8014,-78.6877
nashville,7900,2016.0,jeep,patriot,,,gas,70314.0,rebuilt,automatic,1C4NJPBB5GD584134,fwd,,,,,tn,36.146,-86.755
greensboro,1500,1989.0,chevrolet,silverado 1500,fair,,gas,,clean,automatic,,,,,,,nc,35.6663,-80.0522
greensboro,9590,2012.0,infiniti,fx35,excellent,6 cylinders,gas,120265.0,clean,automatic,,,,,silver,,nc,35.8014,-78.6877
greensboro,6990,2011.0,cadillac,srx luxury collection,excellent,6 cylinders,gas,157909.0,clean,automatic,,,,,silver,,nc,35.8014,-78.6877
greensboro,0,2008.0,ford,f-150,,,gas,,clean,automatic,,,,,,,nc,36.1214,-79.7733
greensboro,4999,2007.0,infiniti,g35,good,6 cylinders,gas,113772.0,clean,automatic,,rwd,mid-size,sedan,custom,,nc,36.022,-79.7821
greensboro,8599,2015.0,dodge,dart,good,4 cylinders,gas,38484.0,clean,automatic,,fwd,mid-size,sedan,white,,nc,36.022,-79.7821
greensboro,34000,2012.0,ford,super duty f-250,good,8 cylinders,diesel,90557.0,clean,automatic,1FT7W2BTXCEA19744,4wd,full-size,,white,,nc,36.1038,-78.2924
greensboro,4800,2008.0,pontiac,g5,good,4 cylinders,gas,106117.0,clean,automatic,1G2AL18FX87269768,fwd,sub-compact,coupe,silver,,nc,36.1038,-78.2924
greensboro,27900,2015.0,jaguar,f-type,good,6 cylinders,gas,60333.0,clean,automatic,SAJWA6ET1F8K17856,rwd,mid-size,convertible,silver,,nc,36.1038,-78.2924
greensboro,25500,2014.0,ford,f-150,good,6 cylinders,gas,88705.0,clean,automatic,1FTFW1ET9EFB93772,4wd,full-size,pickup,white,,nc,36.1038,-78.2924
syracuse,8995,2018.0,ford,focus,,,gas,38127.0,clean,automatic,1FADP3F21JL251168,fwd,compact,sedan,silver,,ny,40.6787,-73.7484
south jersey,0,2008.0,toyota,camry,,,gas,,clean,automatic,,,,,,,nj,39.9186,-75.1078
south jersey,3950,2007.0,mini,cooper,,,gas,,clean,manual,,,,,,,nj,40.0044,-74.9792
richmond,25500,2016.0,lexus,es 350,,6 cylinders,gas,2870.0,clean,automatic,58ABK1GG4GU012008,fwd,,sedan,silver,,va,37.6237,-77.5303
"quad cities, IA/IL",3500,2013.0,dodge,dart,,,gas,,clean,manual,,,,,,,il,41.8517,-90.2078
south jersey,12890,2013.0,ford,edge,,,gas,64430.0,clean,automatic,2FMDK3KC1DBB49649,fwd,,,brown,,nj,39.7461,-75.0452
"quad cities, IA/IL",21950,2016.0,bmw,x3 xdrive28i awd crossover,,,gas,42388.0,clean,automatic,5UXWX9C52G0D74980,,,,,,il,44.8346,-91.5159
south jersey,12190,2013.0,audi,a5,,,gas,94223.0,clean,automatic,WAUCFAFR5DA046850,,,,grey,,nj,39.899,-75.0747
south jersey,7785,2011.0,ford,escape,,,gas,118282.0,clean,automatic,,,,SUV,silver,,nj,40.1304,-74.8324
south jersey,15695,2015.0,toyota,rav4,,,gas,93190.0,clean,automatic,,4wd,,wagon,,,nj,40.1304,-74.8324
south jersey,3500,2009.0,volkswagen,eos convertible,excellent,4 cylinders,gas,75000.0,clean,manual,,fwd,,,,,nj,39.8036,-75.0058
south jersey,4200,2008.0,mercedes-benz,benz e350,fair,5 cylinders,gas,232932.0,clean,automatic,,4wd,full-size,sedan,blue,,nj,39.8676,-75.0317
south jersey,20895,2016.0,mercedes-benz,c-class,,,gas,39439.0,clean,automatic,55SWF4KB5GU100619,,,sedan,white,,nj,40.8765,-74.0721
south jersey,5999,2005.0,toyota,highlander,,,gas,139015.0,clean,automatic,JTEEP21A050106133,,,,blue,,nj,39.729,-75.0303
south jersey,5698,2012.0,chrysler,200,,,gas,135877.0,clean,automatic,1C3CCBBB9CN283413,fwd,,,brown,,nj,39.729,-75.0303
nashville,7000,2015.0,nissan,versa note,like new,4 cylinders,gas,72000.0,clean,automatic,,fwd,compact,sedan,white,,tn,36.2604,-86.7046
"quad cities, IA/IL",6500,2004.0,ford,mustang convertible,excellent,6 cylinders,gas,,clean,automatic,,rwd,,,,,il,41.656000000000006,-90.0843
"quad cities, IA/IL",2500,2004.0,pontiac,grand prix,,,gas,,clean,automatic,,,,,,,il,41.8517,-90.2078
south jersey,1000,2017.0,ram,1500,,,gas,,clean,automatic,,,,,,,nj,40.251,-74.7627
raleigh / durham / CH,10995,2014.0,chevrolet,traverse,,,gas,112383.0,clean,automatic,1GNKRGKD2EJ157108,fwd,,SUV,black,,nc,35.7636,-78.7443
richmond,5500,2013.0,hyundai,sonata,like new,4 cylinders,gas,110000.0,clean,automatic,,fwd,full-size,sedan,red,,va,37.7202,-77.0998
"quad cities, IA/IL",5500,2007.0,chevrolet,tahoe ltz,,,gas,,clean,automatic,,,,,,,il,41.8517,-90.2078
western slope,82000,1997.0,rover,defender 90,excellent,8 cylinders,gas,54000.0,clean,automatic,SALDV2241VA115053,4wd,full-size,SUV,green,,co,37.94,-107.821
"quad cities, IA/IL",12000,2001.0,ram,3500,good,6 cylinders,diesel,,clean,automatic,,4wd,,,white,,il,41.2008,-90.7416
"quad cities, IA/IL",14950,2012.0,lexus,is 350 awd luxury sport se,,,gas,91992.0,clean,automatic,JTHCE5C29C5002294,,,,,,il,44.8346,-91.5159
"quad cities, IA/IL",5500,2006.0,chevrolet,tahoe,good,,gas,144500.0,clean,automatic,,4wd,full-size,,white,,il,41.5118,-90.4321
western slope,6900,2009.0,nissan,murano,,6 cylinders,gas,139442.0,clean,automatic,,fwd,,,,,co,39.0645,-108.55
"quad cities, IA/IL",1950,1942.0,,plymouth,fair,6 cylinders,gas,,clean,manual,,rwd,full-size,sedan,blue,,il,42.0778,-90.6771
richmond,12495,2018.0,nissan,sentra,,,gas,11111.0,clean,automatic,3N1AB7APXJY288848,fwd,,,black,,va,37.6501,-77.609
"quad cities, IA/IL",4000,2008.0,dodge,grand caravan se,,,gas,175000.0,clean,automatic,,,,,white,,il,41.5386,-90.6115
"quad cities, IA/IL",1500,2003.0,ford,f-150,fair,8 cylinders,gas,235000.0,clean,automatic,,fwd,full-size,pickup,red,,il,41.8167,-89.969
richmond,7999,2013.0,nissan,altima,,,gas,85800.0,clean,automatic,1N4AL3AP9DC295781,fwd,,,,,va,37.6501,-77.609
"quad cities, IA/IL",14900,2017.0,chrysler,200,excellent,4 cylinders,gas,80903.0,clean,automatic,1C3CCCAB7HN509429,fwd,,sedan,black,,il,41.9705,-91.6698
"quad cities, IA/IL",12990,2013.0,chrysler,300c,excellent,8 cylinders,gas,115053.0,clean,automatic,2C3CCAET5DH580798,rwd,,sedan,red,,il,41.9705,-91.6698
"quad cities, IA/IL",14990,2014.0,chrysler,300,excellent,6 cylinders,gas,57954.0,clean,automatic,2C3CCARG4EH207444,4wd,,sedan,black,,il,41.9705,-91.6698
"quad cities, IA/IL",12990,2015.0,toyota,camry,excellent,4 cylinders,gas,79212.0,clean,automatic,4T1BF1FK3FU032248,fwd,,sedan,white,,il,41.9705,-91.6698
"quad cities, IA/IL",15990,2013.0,honda,pilot,excellent,6 cylinders,gas,109473.0,clean,automatic,5FNYF4H61DB001991,4wd,,SUV,black,,il,41.9705,-91.6698
"quad cities, IA/IL",11500,2012.0,kia,sorento,excellent,4 cylinders,gas,104174.0,clean,automatic,5XYKUDA62CG243654,4wd,,SUV,silver,,il,41.9705,-91.6698
"quad cities, IA/IL",11500,2011.0,cadillac,srx,excellent,6 cylinders,gas,128536.0,clean,automatic,3GYFNEEY6BS555595,4wd,,SUV,white,,il,41.9705,-91.6698
"quad cities, IA/IL",9200,2008.0,honda,pilot,excellent,6 cylinders,gas,147191.0,clean,automatic,5FNYF18798B014971,4wd,,SUV,blue,,il,41.9705,-91.6698
denver,27900,2013.0,jeep,wrangler unlimited rubicon,good,6 cylinders,gas,103700.0,clean,automatic,,4wd,,offroad,orange,,co,39.7378,-104.815
"quad cities, IA/IL",11250,2007.0,gmc,yukon xl,excellent,8 cylinders,gas,166661.0,clean,automatic,1GKFK16367J161876,4wd,,SUV,silver,,il,41.9705,-91.6698
"quad cities, IA/IL",19500,2011.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,128413.0,clean,automatic,3GCPKTE39BG208762,4wd,,pickup,black,,il,41.9705,-91.6698
"quad cities, IA/IL",18500,2011.0,chevrolet,silverado 2500,excellent,8 cylinders,gas,101903.0,clean,automatic,1GC2KXCG5BZ242222,4wd,,pickup,black,,il,41.9705,-91.6698
"quad cities, IA/IL",10550,2010.0,mercedes-benz,glk 350,excellent,6 cylinders,gas,142476.0,clean,automatic,WDCGG8HB3AF487430,4wd,,SUV,blue,,il,41.9705,-91.6698
"quad cities, IA/IL",8990,2012.0,honda,accord,excellent,4 cylinders,gas,111142.0,clean,automatic,1HGCP2F49CA225970,fwd,mid-size,sedan,grey,,il,41.9705,-91.6698
"quad cities, IA/IL",18990,2012.0,ram,1500,excellent,8 cylinders,gas,140742.0,clean,automatic,1C6RD7MT8CS252250,4wd,,pickup,black,,il,41.9705,-91.6698
"quad cities, IA/IL",16990,2016.0,dodge,journey,excellent,6 cylinders,gas,70864.0,clean,automatic,3C4PDDGG5GT160952,4wd,,SUV,black,,il,41.9705,-91.6698
"quad cities, IA/IL",16500,2018.0,hyundai,sonata,excellent,4 cylinders,gas,22104.0,clean,automatic,5NPE24AF9JH607092,fwd,,sedan,silver,,il,41.9705,-91.6698
"quad cities, IA/IL",12990,2009.0,gmc,yukon,excellent,8 cylinders,gas,132285.0,clean,automatic,1GKFK23099R280896,4wd,,SUV,black,,il,41.9705,-91.6698
"quad cities, IA/IL",18990,2014.0,ford,f150 fx4,excellent,8 cylinders,gas,151679.0,clean,automatic,1FTFW1EF0EKE39528,4wd,,pickup,red,,il,41.9705,-91.6698
"quad cities, IA/IL",17990,2013.0,ram,1500,excellent,8 cylinders,gas,133100.0,clean,automatic,1C6RR7LTXDS724761,4wd,,pickup,red,,il,41.9705,-91.6698
"quad cities, IA/IL",14990,2010.0,ram,1500,excellent,8 cylinders,gas,130725.0,clean,automatic,1D7RV1CT2AS183868,4wd,,pickup,red,,il,41.9705,-91.6698
"quad cities, IA/IL",12990,2014.0,buick,lacrosse,excellent,6 cylinders,gas,93893.0,clean,automatic,1G4GB5G33EF217337,fwd,,sedan,white,,il,41.9705,-91.6698
"quad cities, IA/IL",13990,2014.0,jeep,cherokee,excellent,6 cylinders,gas,100669.0,clean,automatic,1C4PJMCSXEW230424,4wd,,SUV,red,,il,41.9705,-91.6698
denver,8999,2013.0,ford,escape,,,gas,156775.0,clean,automatic,1FMCU0HX4DUA40398,fwd,,SUV,,,co,39.7401,-105.065
south jersey,13780,2014.0,mazda,cx-5,,,gas,66764.0,clean,automatic,JM3KE4CY7E0337881,,,,silver,,nj,39.729,-75.0303
"quad cities, IA/IL",15500,2008.0,gmc,yukon xl,excellent,8 cylinders,gas,140049.0,clean,automatic,1GKFK66808J226831,4wd,,SUV,black,,il,41.9705,-91.6698
"quad cities, IA/IL",12500,2013.0,chevrolet,traverse,excellent,6 cylinders,gas,128325.0,clean,automatic,1GNKVGKD3DJ186191,4wd,,SUV,white,,il,41.9705,-91.6698
south jersey,11980,2014.0,honda,insight,,,gas,31943.0,clean,automatic,JHMZE2H70ES001875,fwd,,,,,nj,39.729,-75.0303
south jersey,18995,2017.0,gmc,terrain,,,gas,28328.0,clean,automatic,2GKFLTEK2H6112626,,,,,,nj,39.8945,-74.9373
"quad cities, IA/IL",16300,2017.0,jeep,renegade,excellent,4 cylinders,gas,40926.0,clean,automatic,ZACCJABB2HPF21435,fwd,,SUV,red,,il,41.9705,-91.6698
"quad cities, IA/IL",13990,2018.0,hyundai,elantra,excellent,4 cylinders,gas,31932.0,clean,automatic,5NPD84LF3JH219959,fwd,,sedan,red,,il,41.9705,-91.6698
"quad cities, IA/IL",6990,2005.0,chevrolet,tahoe,excellent,8 cylinders,gas,147485.0,clean,automatic,1GNEK13T75R148328,4wd,,SUV,silver,,il,41.9705,-91.6698
south jersey,18750,2018.0,buick,regal sportback,,,gas,20046.0,clean,automatic,W04GL6SX4J1091492,fwd,,,black,,nj,39.8945,-74.9373
south jersey,0,2007.0,infiniti,g35,,,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,0,2013.0,dodge,avenger,,,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,3000,1999.0,gmc,isuzu w4500,good,4 cylinders,diesel,249625.0,clean,automatic,,rwd,,,white,,nj,39.7013,-75.1279
south jersey,3950,2003.0,ram,1500,,,gas,,clean,automatic,,,,,,,nj,39.6211,-75.0458
south jersey,11950,2007.0,chevrolet,tahoe lt,like new,8 cylinders,gas,121000.0,clean,automatic,,4wd,full-size,SUV,,,nj,39.9511,-74.9946
south jersey,0,2008.0,toyota,,,,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,0,2009.0,nissan,maxima,excellent,8 cylinders,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,0,2012.0,buick,verano,excellent,,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,30000,1971.0,pontiac,gto,,,gas,,clean,automatic,242371P141587,,,,,,nj,39.1378,-74.7806
south jersey,4400,2012.0,mini,hardtop,,4 cylinders,gas,148790.0,clean,automatic,WMWSU3C51CT541788,fwd,,coupe,red,,nj,40.4082,-74.3729
"quad cities, IA/IL",8000,2005.0,lexus,ls 430,excellent,8 cylinders,gas,116048.0,clean,automatic,JTHBN36FX55021003,rwd,,sedan,white,,il,41.9705,-91.6698
"quad cities, IA/IL",6500,2007.0,ford,f-150,good,,gas,,clean,automatic,,,,,,,il,41.4304,-91.0509
"quad cities, IA/IL",1800,1986.0,lincoln,mark vii,,,gas,,clean,automatic,,,,coupe,,,il,41.5509,-90.4942
south jersey,7400,2013.0,nissan,maxima,,6 cylinders,gas,121744.0,clean,automatic,1N4AA5AP9DC820128,fwd,,sedan,grey,,nj,40.4082,-74.3729
denver,4300,2002.0,subaru,outback,like new,4 cylinders,gas,145000.0,clean,manual,,4wd,,,white,,co,39.6971,-104.882
denver,6500,2001.0,toyota,tundra,good,8 cylinders,gas,202000.0,clean,automatic,,4wd,,,blue,,co,39.7665,-105.02
south jersey,3900,2007.0,mercury,mountaineer,,6 cylinders,gas,171114.0,clean,automatic,4M2EU47E67UJ22183,4wd,,SUV,white,,nj,40.4082,-74.3729
south jersey,5400,2010.0,subaru,outback,,4 cylinders,gas,164362.0,clean,automatic,4S4BRBGC7A3343894,4wd,,wagon,black,,nj,40.4082,-74.3729
"quad cities, IA/IL",5250,2007.0,toyota,rav4,good,6 cylinders,gas,154000.0,clean,automatic,,fwd,,SUV,black,,il,41.5748,-90.531
south jersey,6900,2014.0,volkswagen,passat,,4 cylinders,gas,108116.0,clean,automatic,1VWAT7A38EC030055,fwd,,sedan,silver,,nj,40.4082,-74.3729
denver,2000,1998.0,,Lexis 300 EF,good,6 cylinders,gas,,clean,automatic,,fwd,mid-size,sedan,brown,,co,39.7473,-104.978
south jersey,13000,2011.0,jeep,wrangler,,6 cylinders,gas,81327.0,clean,automatic,1J4BA6D1XBL517250,4wd,,SUV,black,,nj,40.4082,-74.3729
richmond,8500,2011.0,jaguar,xf premium,good,8 cylinders,gas,95350.0,clean,automatic,,rwd,mid-size,sedan,silver,,va,37.5133,-77.5646
richmond,7500,2004.0,chevrolet,silverado,like new,8 cylinders,gas,180000.0,clean,automatic,,4wd,full-size,truck,red,,va,37.7202,-77.0998
south jersey,7500,2008.0,,INIFINTI M35X,excellent,6 cylinders,gas,91384.0,clean,automatic,JNKAY01F98M652733,4wd,,,blue,,nj,39.6491,-75.5155
south jersey,975,2002.0,ford,ranger pickup,good,6 cylinders,gas,175376.0,clean,automatic,,rwd,,pickup,black,,nj,39.9999,-74.2228
south jersey,999,2012.0,jeep,wrangler unlimited sahara,excellent,6 cylinders,gas,121028.0,clean,other,1C4HJWEG0CL122983,4wd,,SUV,,,nj,40.2331,-74.7642
"quad cities, IA/IL",2800,1991.0,,1991,fair,4 cylinders,gas,42000.0,rebuilt,automatic,,,,convertible,white,,il,41.4885,-90.321
south jersey,2950,2012.0,chevrolet,sonic lt,,4 cylinders,gas,,clean,automatic,,,,,,,nj,40.0086,-74.7896
denver,15500,2008.0,toyota,tundra sr5 4x4,good,8 cylinders,gas,130885.0,clean,automatic,,4wd,full-size,truck,blue,,co,39.759,-104.96600000000001
denver,2450,2007.0,ford,,,,gas,,clean,automatic,,,,,,,co,38.6996,-104.70100000000001
south jersey,0,2005.0,jeep,grand cherokee,,,other,,clean,automatic,,,,,silver,,nj,39.8857,-75.3082
south jersey,0,2007.0,gmc,savana,,,other,,clean,automatic,,,,,white,,nj,39.8857,-75.3082
south jersey,3500,2006.0,honda,odyssey ex-l,excellent,6 cylinders,gas,,clean,automatic,,,full-size,van,grey,,nj,39.5553,-75.0276
"quad cities, IA/IL",11000,2009.0,ford,f-150,,,gas,,clean,automatic,,,,,,,il,40.9521,-90.3698
